Make,Model,AverageCityMPG,AverageHighwayMPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
CADILLAC,CT4,16,24,19,4,No,478
CADILLAC,CT4,16,24,19,4,No,478
CADILLAC,CT5,23,33,27,5,No,333
CADILLAC,CT5,23,33,27,5,No,333
CADILLAC,CT5,22,30,25,5,No,358
CADILLAC,CT5,22,30,25,5,No,358
CADILLAC,CT5,19,27,22,5,No,405
CADILLAC,CT5,19,27,22,5,No,405
CADILLAC,CT5,18,26,21,4,No,419
CADILLAC,CT5,18,26,21,4,No,419
CADILLAC,CT5,18,27,21,4,No,423
CADILLAC,CT5,18,27,21,4,No,423
CADILLAC,CT5,13,21,15,2,No,592
CADILLAC,CT5,13,21,15,2,No,592
CADILLAC,CT5,13,21,16,3,No,558
CADILLAC,CT5,13,21,16,3,No,558
CADILLAC,Escalade,21,27,23,4,No,442
CADILLAC,Escalade,21,27,23,4,No,442
CADILLAC,Escalade,20,26,22,4,No,462
CADILLAC,Escalade,20,26,22,4,No,462
CADILLAC,Escalade,14,19,16,3,No,556
CADILLAC,Escalade,14,19,16,3,No,556
CADILLAC,Escalade,14,18,16,3,No,564
CADILLAC,Escalade,14,18,16,3,No,564
CADILLAC,Escalade,11,16,13,1,No,702
CADILLAC,Escalade,11,16,13,1,No,702
CADILLAC,Lyriq,97,82,89,10,Elite,0
CADILLAC,Lyriq,97,82,89,10,Elite,0
CADILLAC,Lyriq,96,81,89,10,Elite,0
CADILLAC,Lyriq,96,81,89,10,Elite,0
CADILLAC,XT4,23,30,26,5,No,341
CADILLAC,XT4,23,30,26,5,No,341
CADILLAC,XT4,22,29,24,5,No,370
CADILLAC,XT4,22,29,24,5,No,370
CADILLAC,XT5,22,29,24,5,No,370
CADILLAC,XT5,22,29,24,5,No,370
CADILLAC,XT5,21,27,23,5,No,386
CADILLAC,XT5,21,27,23,5,No,386
CADILLAC,XT5,19,26,21,4,No,419
CADILLAC,XT5,19,26,21,4,No,419
CADILLAC,XT5,18,25,21,4,No,426
CADILLAC,XT5,18,25,21,4,No,426
CADILLAC,XT6,21,27,23,5,No,386
CADILLAC,XT6,21,27,23,5,No,386
CADILLAC,XT6,21,26,23,5,No,386
CADILLAC,XT6,21,26,23,5,No,386
CADILLAC,XT6,19,26,21,4,No,419
CADILLAC,XT6,19,26,21,4,No,419
CADILLAC,XT6,18,25,21,4,No,433
CADILLAC,XT6,18,25,21,4,No,433
CHEVROLET,Blazer,22,29,25,5,No,365
CHEVROLET,Blazer,22,29,25,5,No,365
CHEVROLET,Blazer,22,27,24,5,No,368
CHEVROLET,Blazer,22,27,24,5,No,368
CHEVROLET,Blazer,19,27,22,5,No,404
CHEVROLET,Blazer,19,27,22,5,No,404
CHEVROLET,Blazer,19,26,21,4,No,417
CHEVROLET,Blazer,19,26,21,4,No,417
CHEVROLET,Bolt,125,104,115,10,Elite,0
CHEVROLET,Bolt,125,104,115,10,Elite,0
CHEVROLET,Bolt,131,109,120,10,Elite,0
CHEVROLET,Bolt,131,109,120,10,Elite,0
CHEVROLET,Camaro,19,28,22,5,No,401
CHEVROLET,Camaro,19,28,22,5,No,401
CHEVROLET,Camaro,22,30,25,5,No,360
CHEVROLET,Camaro,22,30,25,5,No,360
CHEVROLET,Camaro,16,26,20,4,No,453
CHEVROLET,Camaro,16,26,20,4,No,453
CHEVROLET,Camaro,18,29,22,5,No,407
CHEVROLET,Camaro,18,29,22,5,No,407
CHEVROLET,Camaro,14,20,16,3,No,559
CHEVROLET,Camaro,14,20,16,3,No,559
CHEVROLET,Camaro,16,24,19,4,No,477
CHEVROLET,Camaro,16,24,19,4,No,477
CHEVROLET,Camaro,13,21,16,3,No,571
CHEVROLET,Camaro,13,21,16,3,No,571
CHEVROLET,Camaro,16,26,20,4,No,453
CHEVROLET,Camaro,16,26,20,4,No,453
CHEVROLET,Corvette,16,24,19,4,No,475
CHEVROLET,Corvette,16,24,19,4,No,475
CHEVROLET,Corvette,12,21,15,2,No,597
CHEVROLET,Corvette,12,21,15,2,No,597
CHEVROLET,Corvette,12,19,14,2,No,631
CHEVROLET,Corvette,12,19,14,2,No,631
CHEVROLET,Equinox,26,31,28,6,No,317
CHEVROLET,Equinox,26,31,28,6,No,317
CHEVROLET,Equinox,24,30,26,5,No,340
CHEVROLET,Equinox,24,30,26,5,No,340
CHEVROLET,Malibu,27,35,30,6,No,292
CHEVROLET,Malibu,27,35,30,6,No,292
CHEVROLET,Silverado,19,21,20,4,No,453
CHEVROLET,Silverado,19,22,20,4,No,446
CHEVROLET,Silverado,19,21,20,4,No,453
CHEVROLET,Silverado,19,22,20,4,No,446
CHEVROLET,Silverado,18,21,19,4,No,459
CHEVROLET,Silverado,18,21,19,4,No,462
CHEVROLET,Silverado,18,21,19,4,No,459
CHEVROLET,Silverado,18,21,19,4,No,462
CHEVROLET,Silverado,24,29,26,5,No,396
CHEVROLET,Silverado,24,29,26,5,No,396
CHEVROLET,Silverado,22,27,24,4,No,423
CHEVROLET,Silverado,22,27,24,4,No,425
CHEVROLET,Silverado,22,27,24,4,No,423
CHEVROLET,Silverado,22,27,24,4,No,425
CHEVROLET,Silverado,12,15,13,4,No,472/496
CHEVROLET,Silverado,12,15,13,4,No,472/496
CHEVROLET,Silverado,16,20,18,4,No,500
CHEVROLET,Silverado,17,21,19,4,No,478
CHEVROLET,Silverado,15,18,16,3,No,553
CHEVROLET,Silverado,16,20,18,4,No,500
CHEVROLET,Silverado,17,21,19,4,No,478
CHEVROLET,Silverado,15,18,16,3,No,553
CHEVROLET,Silverado,11,14,12,3,No,512/524
