Make,Fuel,Veh Class,Air Pollution Score,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,Comb CO2
BMW,Gasoline,Small Car,7,25,34,28,6,No,313
BMW,Gasoline,Small Car,7,23,33,27,5,No,327
BMW,Gasoline,Small Car,7,23,33,27,5,No,327
BMW,Gasoline,Small Car,7,25,34,28,6,No,313
BMW,Gasoline,Small Car,7,25,34,28,6,No,313
BMW,Gasoline,Small Car,7,23,33,27,5,No,329
BMW,Gasoline,Small Car,7,23,33,27,5,No,329
BMW,Gasoline/Electricity,Small Car,7,24,29,26,8,Yes,179
BMW,Gasoline/Electricity,Small Car,7,24,29,26,8,Yes,179
BMW,Gasoline/Electricity,Small Car,7,22,28,25,8,Yes,203
BMW,Gasoline/Electricity,Small Car,7,22,28,25,8,Yes,203
BMW,Gasoline,Midsize Car,7,25,33,28,6,No,313
BMW,Gasoline,Midsize Car,7,25,33,28,6,No,313
BMW,Gasoline,Midsize Car,7,23,32,26,5,No,332
BMW,Gasoline,Midsize Car,7,23,32,26,5,No,332
BMW,Gasoline,Midsize Car,5,25,32,27,5,No,322
BMW,Gasoline,Midsize Car,5,25,32,27,5,No,322
BMW,Gasoline,Midsize Car,5,22,29,25,5,No,352
BMW,Gasoline,Midsize Car,5,22,29,25,5,No,352
BMW,Gasoline,Large Car,7,25,31,27,5,No,324
BMW,Gasoline,Large Car,7,25,31,27,5,No,324
BMW,Gasoline,Large Car,5,18,26,21,4,No,420
BMW,Gasoline,Large Car,5,18,26,21,4,No,420
BMW,Gasoline,Small Car,3,21,29,24,5,No,374
BMW,Gasoline,Small Car,3,21,29,24,5,No,374
BMW,Gasoline,Small Car,3,21,29,24,5,No,373
BMW,Gasoline,Small Car,3,21,29,24,5,No,373
BMW,Gasoline,Midsize Car,3,21,29,24,5,No,374
BMW,Gasoline,Midsize Car,3,21,29,24,5,No,374
BMW,Gasoline,Small Car,3,21,29,24,5,No,373
BMW,Gasoline,Small Car,3,21,29,24,5,No,373
BMW,Gasoline,Small Car,3,21,29,24,5,No,373
BMW,Gasoline,Small Car,3,21,29,24,5,No,373
BMW,Gasoline,Midsize Car,3,21,29,24,5,No,373
BMW,Gasoline,Midsize Car,3,21,29,24,5,No,373
BMW,Gasoline,Midsize Car,3,17,24,19,4,No,457
BMW,Gasoline,Midsize Car,3,17,24,19,4,No,457
BMW,Gasoline,Standard SUV,5,16,20,17,3,No,506
BMW,Gasoline,Standard SUV,5,16,20,17,3,No,506
BMW,Gasoline,Small Car,5,16,24,19,4,No,461
BMW,Gasoline,Small Car,5,16,24,19,4,No,461
BMW,Gasoline,Small Car,5,16,23,19,4,No,472
BMW,Gasoline,Small Car,5,16,23,19,4,No,472
BMW,Gasoline,Small Car,3,24,33,27,5,No,324
BMW,Gasoline,Small Car,3,24,33,27,5,No,324
BMW,Gasoline,Small Car,3,24,33,27,5,No,324
BMW,Gasoline,Small Car,5,22,32,26,5,No,343
BMW,Gasoline,Small Car,5,22,32,26,5,No,343
BMW,Gasoline,Small Car,5,23,32,26,5,No,338
BMW,Gasoline,Small Car,5,23,32,26,5,No,338
BMW,Gasoline,Small Car,5,16,23,19,4,No,472
BMW,Gasoline,Small Car,5,16,23,19,4,No,472
BMW,Gasoline,Small Car,5,16,23,19,4,No,470
BMW,Gasoline,Small Car,5,16,23,19,4,No,470
BMW,Gasoline,Small Car,5,16,22,18,4,No,477
BMW,Gasoline,Small Car,5,16,22,18,4,No,477
BMW,Gasoline,Small Car,5,23,31,26,5,No,340
BMW,Gasoline,Small Car,5,23,31,26,5,No,340
BMW,Gasoline,Small Car,5,23,32,26,5,No,339
BMW,Gasoline,Small Car,5,23,32,26,5,No,339
BMW,Gasoline,Small Car,5,16,23,18,4,No,485
BMW,Gasoline,Small Car,5,16,23,18,4,No,485
BMW,Gasoline,Small Car,5,16,23,19,4,No,470
BMW,Gasoline,Small Car,5,16,23,19,4,No,470
BMW,Gasoline,Small Car,5,16,22,18,4,No,477
BMW,Gasoline,Small Car,5,16,22,18,4,No,477
BMW,Gasoline,Small Car,5,16,23,18,4,No,484
BMW,Gasoline,Small Car,5,16,23,18,4,No,484
BMW,Gasoline,Small Car,5,16,23,19,4,No,472
BMW,Gasoline,Small Car,5,16,23,19,4,No,472
BMW,Gasoline,Small Car,5,24,32,27,5,No,325
BMW,Gasoline,Small Car,5,24,32,27,5,No,325
BMW,Gasoline,Small Car,5,22,31,25,5,No,348
BMW,Gasoline,Small Car,5,22,31,25,5,No,348
BMW,Gasoline,Small Car,5,23,31,26,5,No,340
BMW,Gasoline,Small Car,5,23,31,26,5,No,340
BMW,Gasoline,Small Car,5,24,32,27,5,No,325
BMW,Gasoline,Small Car,5,24,32,27,5,No,325
BMW,Gasoline,Small Car,5,22,31,25,5,No,348
BMW,Gasoline,Small Car,5,22,31,25,5,No,348
BMW,Gasoline,Small Car,5,22,31,25,5,No,348
BMW,Gasoline,Small Car,5,22,31,25,5,No,348
BMW,Gasoline,Midsize Car,3,15,21,17,3,No,522
BMW,Gasoline,Midsize Car,3,15,21,17,3,No,522
BMW,Gasoline,Midsize Car,3,15,21,17,3,No,522
BMW,Gasoline,Midsize Car,3,15,21,17,3,No,522
BMW,Gasoline,Midsize Car,3,17,25,20,4,No,446
BMW,Gasoline,Midsize Car,3,17,25,20,4,No,446
BMW,Gasoline,Small Car,3,15,22,17,3,No,517
BMW,Gasoline,Small Car,3,15,22,17,3,No,517
BMW,Gasoline,Small Car,3,15,22,17,3,No,517
BMW,Gasoline,Small Car,3,15,22,17,3,No,517
BMW,Gasoline,Midsize Car,3,15,22,17,3,No,517
BMW,Gasoline,Midsize Car,3,15,22,17,3,No,517
BMW,Gasoline,Small Car,3,17,24,19,4,No,457
BMW,Gasoline,Small Car,3,17,24,19,4,No,457
BMW,Gasoline,Small Car,3,17,24,19,4,No,457
BMW,Gasoline,Small Car,3,17,24,19,4,No,457
BMW,Gasoline,Midsize Car,3,17,24,19,4,No,457
BMW,Gasoline,Midsize Car,3,17,24,19,4,No,457
BMW,Gasoline,Small SUV,8,25,34,28,6,No,313
BMW,Gasoline,Small SUV,8,25,34,28,6,No,313
BMW,Gasoline,Midsize Car,3,24,31,27,5,No,333
BMW,Gasoline,Midsize Car,3,24,31,27,5,No,333
BMW,Gasoline,Midsize Car,3,24,31,27,5,No,333
BMW,Gasoline,Midsize Car,7,24,32,27,5,No,329
BMW,Gasoline,Midsize Car,7,24,32,27,5,No,329
BMW,Gasoline,Midsize Car,7,24,31,27,5,No,333
BMW,Gasoline,Midsize Car,7,24,31,27,5,No,333
BMW,Gasoline,Small SUV,3,15,20,17,3,No,519
BMW,Gasoline,Small SUV,3,15,20,17,3,No,519
BMW,Gasoline,Small SUV,3,15,20,17,3,No,519
BMW,Gasoline,Small SUV,3,15,20,17,3,No,519
BMW,Gasoline,Small SUV,5,21,26,23,5,No,378
BMW,Gasoline,Small SUV,5,21,26,23,5,No,378
BMW,Gasoline,Small SUV,7,23,29,25,5,No,352
BMW,Gasoline,Small SUV,7,23,29,25,5,No,352
BMW,Gasoline,Small SUV,7,21,28,24,5,No,369
BMW,Gasoline,Small SUV,7,21,28,24,5,No,369
BMW,Gasoline,Small SUV,3,15,20,17,3,No,519
BMW,Gasoline,Small SUV,3,15,20,17,3,No,519
BMW,Gasoline,Small SUV,3,15,20,17,3,No,519
BMW,Gasoline,Small SUV,3,15,20,17,3,No,519
BMW,Gasoline,Small SUV,5,21,26,23,5,No,378
BMW,Gasoline,Small SUV,5,21,26,23,5,No,378
BMW,Gasoline,Small SUV,7,21,28,24,5,No,369
BMW,Gasoline,Small SUV,7,21,28,24,5,No,369
BMW,Gasoline,Standard SUV,3,13,18,15,2,No,586
BMW,Gasoline,Standard SUV,3,13,18,15,2,No,586
BMW,Gasoline,Standard SUV,3,13,18,15,2,No,586
BMW,Gasoline,Standard SUV,3,13,18,15,2,No,586
BMW,Gasoline,Standard SUV,3,16,22,18,4,No,486
BMW,Gasoline,Standard SUV,3,16,22,18,4,No,486
BMW,Gasoline,Standard SUV,3,21,26,23,5,No,383
BMW,Gasoline,Standard SUV,3,21,26,23,5,No,383
BMW,Gasoline,Standard SUV,3,21,25,23,5,No,389
BMW,Gasoline,Standard SUV,3,21,25,23,5,No,389
BMW,Gasoline/Electricity,Standard SUV,7,19,22,20,8,Yes,177
BMW,Gasoline/Electricity,Standard SUV,7,19,22,20,8,Yes,177
BMW,Gasoline,Standard SUV,3,13,18,15,2,No,586
BMW,Gasoline,Standard SUV,3,13,18,15,2,No,586
BMW,Gasoline,Standard SUV,3,13,18,15,2,No,586
BMW,Gasoline,Standard SUV,3,13,18,15,2,No,586
BMW,Gasoline,Standard SUV,3,16,22,18,4,No,486
BMW,Gasoline,Standard SUV,3,16,22,18,4,No,486
BMW,Gasoline,Standard SUV,3,21,25,23,5,No,389
BMW,Gasoline,Standard SUV,3,21,25,23,5,No,389
BMW,Gasoline,Standard SUV,5,16,21,18,4,No,481
BMW,Gasoline,Standard SUV,5,16,21,18,4,No,481
BMW,Gasoline,Standard SUV,7,21,25,22,5,No,392
BMW,Gasoline,Standard SUV,7,21,25,22,5,No,392
BMW,Gasoline/Electricity,Standard SUV,7,12,17,14,7,Yes,244
BMW,Gasoline/Electricity,Standard SUV,7,12,17,14,7,Yes,244
BMW,Gasoline,Small Car,7,25,33,28,6,No,312
BMW,Gasoline,Small Car,7,25,33,28,6,No,312
BMW,Gasoline,Small Car,5,23,31,26,5,No,338
BMW,Gasoline,Small Car,5,23,31,26,5,No,338
BMW,Electricity,Small Car,10,94,98,96,10,Elite,0
BMW,Electricity,Small Car,10,94,98,96,10,Elite,0
BMW,Electricity,Small Car,10,79,80,80,10,Elite,0
BMW,Electricity,Small Car,10,79,80,80,10,Elite,0
BMW,Electricity,Small Car,10,107,102,105,10,Elite,0
BMW,Electricity,Small Car,10,107,102,105,10,Elite,0
BMW,Electricity,Small Car,10,115,111,113,10,Elite,0
BMW,Electricity,Small Car,10,115,111,113,10,Elite,0
BMW,Electricity,Small Car,10,109,108,109,10,Elite,0
BMW,Electricity,Small Car,10,109,108,109,10,Elite,0
BMW,Electricity,Small Car,10,100,98,99,10,Elite,0
BMW,Electricity,Small Car,10,100,98,99,10,Elite,0
BMW,Electricity,Large Car,10,87,92,89,10,Elite,0
BMW,Electricity,Large Car,10,87,92,89,10,Elite,0
BMW,Electricity,Large Car,10,81,85,83,10,Elite,0
BMW,Electricity,Large Car,10,81,85,83,10,Elite,0
BMW,Electricity,Large Car,10,85,89,87,10,Elite,0
BMW,Electricity,Large Car,10,85,89,87,10,Elite,0
BMW,Electricity,Standard SUV,10,76,80,77,10,Elite,0
BMW,Electricity,Standard SUV,10,76,80,77,10,Elite,0
BMW,Electricity,Standard SUV,10,77,80,78,10,Elite,0
BMW,Electricity,Standard SUV,10,77,80,78,10,Elite,0
BMW,Electricity,Standard SUV,10,86,87,86,10,Elite,0
BMW,Electricity,Standard SUV,10,86,87,86,10,Elite,0
BMW,Electricity,Standard SUV,10,82,84,83,10,Elite,0
BMW,Electricity,Standard SUV,10,82,84,83,10,Elite,0
BMW,Electricity,Standard SUV,10,86,85,86,10,Elite,0
BMW,Electricity,Standard SUV,10,86,85,86,10,Elite,0
BUGATTI,Gasoline,Small Car,1,8,11,9,1,No,979
BUGATTI,Gasoline,Small Car,1,8,11,9,1,No,979
BUGATTI,Gasoline,Small Car,1,8,11,9,1,No,979
BUGATTI,Gasoline,Small Car,1,8,11,9,1,No,979
BUICK,Gasoline,Standard SUV,6,18,26,21,4,No,424
BUICK,Gasoline,Standard SUV,6,18,26,21,4,No,424
BUICK,Gasoline,Standard SUV,6,17,25,20,4,No,448
BUICK,Gasoline,Standard SUV,6,17,25,20,4,No,448
BUICK,Gasoline,Small SUV,7,29,31,30,6,No,296
BUICK,Gasoline,Small SUV,7,29,31,30,6,No,296
BUICK,Gasoline,Small SUV,7,26,29,27,5,No,324
BUICK,Gasoline,Small SUV,7,26,29,27,5,No,324
BUICK,Gasoline,Small SUV,7,29,32,30,6,No,297
BUICK,Gasoline,Small SUV,7,29,32,30,6,No,297
BUICK,Gasoline,Small SUV,7,23,31,26,5,No,337
BUICK,Gasoline,Small SUV,7,23,31,26,5,No,337
BUICK,Gasoline,Small SUV,7,22,29,25,5,No,355
BUICK,Gasoline,Small SUV,7,22,29,25,5,No,355
CADILLAC,Gasoline,Small Car,7,23,34,27,5,No,331
CADILLAC,Gasoline,Small Car,7,23,34,27,5,No,331
CADILLAC,Gasoline,Small Car,7,22,31,26,5,No,348
CADILLAC,Gasoline,Small Car,7,22,31,26,5,No,348
CADILLAC,Gasoline,Small Car,6,21,31,25,5,No,356
CADILLAC,Gasoline,Small Car,6,21,31,25,5,No,356
CADILLAC,Gasoline,Small Car,6,21,29,24,5,No,371
CADILLAC,Gasoline,Small Car,6,21,29,24,5,No,371
CADILLAC,Gasoline,Small Car,6,20,29,23,5,No,385
CADILLAC,Gasoline,Small Car,6,20,29,23,5,No,385
CADILLAC,Gasoline,Small Car,6,20,28,23,5,No,387
CADILLAC,Gasoline,Small Car,6,20,28,23,5,No,387
CADILLAC,Gasoline,Small Car,5,15,23,18,4,No,488
CADILLAC,Gasoline,Small Car,5,15,23,18,4,No,488
CADILLAC,Gasoline,Small Car,5,16,24,19,4,No,478
CADILLAC,Gasoline,Small Car,5,16,24,19,4,No,478
CADILLAC,Gasoline,Midsize Car,7,23,33,27,5,No,333
